"group","value"
"Group A",113.709584471467
"Group A",94.3530182860391
"Group A",103.631284113373
"Group A",106.32862604961
"Group A",104.04268323141
"Group A",98.9387548390852
"Group A",115.115219974389
"Group A",99.053409615869
"Group A",120.18423713877
"Group A",99.3728590094758
"Group A",113.048696542235
"Group A",122.866453927011
"Group A",86.1113929888766
"Group A",97.2121123318263
"Group A",98.6667866360634
"Group A",106.359503980701
"Group A",97.1574707858393
"Group A",73.4354457909522
"Group A",75.5953307142448
"Group A",113.201133457302
"Group A",96.9336140592153
"Group A",82.1869156602
"Group A",98.2808264424038
"Group A",112.146746991726
"Group A",118.95193461265
"Group A",95.695308683938
"Group A",97.4273061723107
"Group A",82.3683691480522
"Group A",104.600973548313
"Group A",93.6000512403988
"Group A",104.554501232412
"Group A",107.048373372288
"Group A",110.351035219699
"Group A",93.9107362459279
"Group A",105.04955123298
"Group A",82.8299132092666
"Group A",92.155409916205
"Group A",91.4909240582348
"Group A",75.8579235005337
"Group A",100.361226068923
"Group A",102.059986002003
"Group A",96.3894270145133
"Group A",107.581632356995
"Group A",92.7329517292342
"Group A",86.3171895558071
"Group A",104.328180258887
"Group A",91.8860682381333
"Group A",114.441012617213
"Group A",95.6855379738665
"Group A",106.556478834022
"Group B",124.828878978059
"Group B",108.242415886794
"Group B",143.63591279688
"Group B",129.64348958576
"Group B",121.346409698994
"Group B",124.148261209372
"Group B",130.189332240829
"Group B",121.347493298686
"Group B",75.103648752706
"Group B",124.27324430296
"Group B",114.491480358885
"Group B",122.778458472984
"Group B",128.727355910483
"Group B",140.99605240939
"Group B",109.090619107883
"Group B",139.538139480662
"Group B",125.037721796281
"Group B",135.577591480464
"Group B",133.81092852436
"Group B",130.813172443003
"Group B",104.353215921482
"Group B",118.647204200839
"Group B",129.352772429993
"Group B",105.697149633415
"Group B",111.857567781392
"Group B",128.714947465225
"Group B",131.522681067519
"Group B",126.956513828103
"Group B",106.713355538855
"Group B",103.503286520282
"Group B",142.690605147074
"Group B",123.86882156298
"Group B",121.326603437394
"Group B",118.186551936914
"Group B",102.085066572592
"Group B",129.179953470606
"Group B",116.742902313802
"Group B",117.258649405021
"Group B",134.000194928567
"Group B",132.326596657624
"Group B",140.881745639014
"Group B",112.85739115418
"Group B",129.755228410895
"Group B",140.86665684585
"Group B",103.338166808282
"Group B",107.088111196832
"Group B",103.023919787193
"Group B",98.1117900074641
"Group B",121.199738298617
"Group B",129.798065094738
"Group C",104.411584507182
"Group C",102.537013046013
"Group C",77.9614962379218
"Group C",112.181782820073
"Group C",81.9987190949062
"Group C",91.2661657494728
"Group C",84.9329294175737
"Group C",88.5317979365403
"Group C",92.258316414018
"Group C",91.4299314959641
"Group C",89.6988893895912
"Group C",91.2968727353044
"Group C",84.17477716984
"Group C",83.9493944317452
"Group C",70.0668110410222
"Group C",85.4119952775142
"Group C",83.8481969054664
"Group C",122.422692004138
"Group C",73.6546052257234
"Group C",91.6470746227033
"Group C",72.0764991922045
"Group C",72.3547711027584
"Group C",91.4964286343641
"Group C",78.0403303813916
"Group C",89.9781286283435
"Group C",84.8608934228902
"Group C",82.6359407226061
"Group C",65.7038658549707
"Group C",75.3030245956802
"Group C",92.1541972934153
"Group C",96.8114471330824
"Group C",84.0854717573583
"Group C",90.0007546087842
"Group C",103.47467572056
"Group C",107.278268915714
"Group C",76.8346347791301
"Group C",88.5921652769979
"Group C",104.417980811036
"Group C",84.3632450332044
"Group C",89.370366180732
"Group C",88.9667124211549
"Group C",79.3478517851228
"Group C",84.6637919413831
"Group C",89.6466614509411
"Group C",85.0335738113049
"Group C",103.360632280418
"Group C",84.2280859001522
"Group C",84.8019716087912
"Group C",98.3623509186252
"Group C",77.3235790419491
